serial_number,model_type,Age,20_40,40_60,60_80,80_100,total_days,Latitude,Longitude,City
XREP1166,19XR,2011,0,1.031991744,8.513931889,90.35087719,162,39.9142833,116.4530132,???
XREP1208,19XR,2012,0,4.441776711,40.33613445,55.22208884,251,41.6573073,123.4437169,??????
XREP1210,19XR,2012,0,2.747252747,59.52380952,37.72893773,251,41.6573073,123.4437169,??????
XREP1236,19XR,2012,53.88246401,34.83596885,4.956337031,0,251,34.4535253,113.0504731,???
XREP1237,19XR,2012,50.37593985,24.31077694,12.28070175,4.010025063,251,34.4535253,113.0504731,???
XREP1252,19XR,2012,0.115704218,1.146523614,4.386241717,93.19448827,251,29.6407858,106.75094,???
XREP1253,19XR,2012,0.019062143,0.686237133,42.0320244,57.26267632,251,22.054923,113.231491,???
XREP1254,19XR,2012,0,2.542372881,94.91525424,2.542372881,251,29.6407858,106.75094,???
XREQ1054,19XR,2010,0,0,0,0,198,36.6653182,116.9949479,???
XREQ1111,19XR,2011,0.129676457,1.322699864,37.24307852,60.0401997,252,19.0218844,73.0185706,Navi Mumbai 
XREQ1112,19XR,2011,0.238663484,1.397886123,56.82463916,40.67507671,252,19.0218844,73.0185706,Navi Mumbai 
XREQ1113,19XR,2011,0.223551844,0.887632323,30.97508054,64.82345979,252,19.0218844,73.0185706,Navi Mumbai 
XREQ1114,19XR,2011,0.269609908,1.011037156,47.87260932,49.4312916,252,19.0218844,73.0185706,Navi Mumbai 
XREQ1159,19XR,2011,0.081933634,1.065137239,7.374027038,91.47890209,253,30.5817795,114.2773765,??? ???
XREQ1160,19XR,2011,0,9.232688709,28.07236432,62.63256394,253,30.5817795,114.2773765,??? ???
XREQ1163,19XR,2011,0.139664804,0.698324022,12.6396648,86.52234637,253,30.5817795,114.2773765,??? ???
XREQ1164,19XR,2011,0.202839757,92.90060852,3.245436105,3.651115619,253,30.5817795,114.2773765,??? ???
XREQ1276,19XR,2012,10.95066185,63.65824308,24.54873646,0.36101083,142,38.3076891,116.8661734,???
XREQ1279,19XR,2012,27.52145923,59.60300429,12.71459227,0.160944206,251,38.3076891,116.8661734,??????
XRER1002,19XR,2010,19.58182549,39.48532368,40.93285082,0,251,38.3076891,116.8661734,???
XRER1014,19XR,2010,0,0.67114094,1.342281879,94.63087248,251,28.5826289,121.3651274,???
XRER1017,19XR,2010,0.504201681,1.008403361,2.18487395,95.6302521,251,28.5826289,121.3651274,???
XRER1019,19XR,2010,0.134634803,0.673174015,6.52978795,73.51060249,251,28.5826289,121.3651274,???
XRER1159,19XR,2011,0,56.30205441,40.31093837,3.387007218,253,30.2285369,120.1966409,HZ
XRER1160,19XR,2011,0,6.896551724,9.655172414,83.44827586,253,30.2285369,120.1966409,HZ
XRER1187,19XR,2011,28.22136002,54.70696345,13.15090872,0,251,36.097594,114.3927558,???
XRER1277,19XR,2012,0,0.027824151,32.6099054,67.36227045,184,26.4959999,119.446,???
XRES1038,19XR,2010,0.085567598,6.930975471,86.05248146,6.845407872,252,34.7498743,113.6678122,???
XRES1039,19XR,2010,0.04100041,11.50061501,81.75481755,6.703567036,252,34.7498743,113.6678122,???
XRES1040,19XR,2010,0,72,27.55555556,0.444444444,104,23.2159405,113.2931741,???
XRES1094,19XR,2010,0,20.91503268,47.7124183,30.71895425,251,30.280729,120.06378,HZ
XRES1139,19XR,2011,0,0,0,0,251,23.1109424,114.4167999,??????
XRES1215,19XR,2012,1.081081081,95.13513514,3.783783784,0,251,36.0556456,103.8565898,???
XRES1216,19XR,2012,50,0,50,0,251,36.0556456,103.8565898,???
XRES1278,19XR,2012,0.010642827,34.74882929,51.87845892,13.34078331,251,17.4328204,78.38149,HYDERABAD
XRES1279,19XR,2012,17.17824448,70.16693592,11.06623586,0.511577814,196,17.4328204,78.38149,HYDERABAD
XRES1280,19XR,2012,0.016818972,27.58311375,52.27336435,20.07063968,236,17.4328204,78.38149,HYDERABAD
0303Q67735,19XR,2003,0,0.096086653,38.82774284,60.08036338,44,31.1424195,-97.3553695,Temple
0398J57410,19XR,1998,0,0.101278643,75.895683,24.80060767,137,29.7453035,-95.4422083,Houston
0398J57411,19XR,1998,0,0,77.18472951,23.14094445,137,29.7453035,-95.4422083,Houston
0599J59150,19XR,1999,0,0,0,0,28,41.4483962,-87.7161863,University Park
0599J59151,19XR,1999,0,0,0,0,28,41.4483962,-87.7161863,University Park
0599J59269,19XR,1999,0,0,0,0,66,40.7315496,-73.8647335,Rego Park
0699J59271,19XR,1999,0.058465856,99.92399439,0.011693171,0,66,40.7315496,-73.8647335,Rego Park
0822Q28916,19XR,2022,7.498033732,46.24661365,38.54758368,6.632875994,145,33.5191944,-86.8097162,Birmingham
0898J57590,19XR,1998,0,85.60767591,14.39232409,0,13,40.7400775,-73.6349492,Mineola
1009Q18797,19XR,2009,0,63.26148079,36.51983755,0.187441425,48,45.3874592,-75.6982987,Ottawa
1016Q25045,19XR,2016,25.72036854,24.97155233,36.84249165,12.34445546,163,29.9503038,-90.0713499,New Orleans
1102Q66779,19XR,2002,0,0,0,0,93,40.8560655,-73.8467692,Bronx
1209Q18844,19XR,2009,0,51.07526882,26.88172043,9.946236559,213,40.8195479,-73.599059,Greenvale
1209Q18845,19XR,2009,0,65.16556291,34.70198675,0.132450331,213,40.8195479,-73.599059,Greenvale
1209Q18846,19XR,2009,0,0,0,0,213,40.8195479,-73.599059,Greenvale
1300Q63468,19XR,2000,0,0,0,0,0,36.044879,-95.912504,Tulsa
1322Q28734,19XR,2022,0.09469697,23.72159091,68.79734848,7.102272727,28,40.7852328,-73.945029,NEW YORK
1399J59406,19XR,1999,0.024118179,99.8794091,0.078384082,0.018088634,62,43.091187,-79.0727145,Niagara Falls
1402Q66924,19XR,2002,2.024866785,91.04795737,4.120781528,0.710479574,27,40.832474,-72.8242221,Manorville
1402Q66925,19XR,2002,65.90909091,0,31.81818182,0,27,40.832474,-72.8242221,Manorville
1404Q69257,19XR,2004,0,0.473933649,72.98578199,24.80252765,18,27.8521096,-82.8184098,Seminole
1499J59408,19XR,1999,0.999338187,98.95433488,0.019854401,0.019854401,55,43.091187,-79.0727145,Niagara Falls
1500Q63796,19XR,2000,21.24413146,49.64788732,26.17370892,2.464788732,15,33.6603444,-117.8617749,Newport Beach
1501Q65384,19XR,2001,0,99.99342235,0,0,54,43.091187,-79.0727145,Niagara Falls
1600Q63794,19XR,2000,10.87420043,64.17910448,24.09381663,0.852878465,15,33.6603444,-117.8617749,Newport Beach
1602Q66908,19XR,2002,0.079365079,4.920634921,68.49206349,26.50793651,159,38.5676435,-121.3441821,Sacramento
1697J55737,19XR,1997,0,12.34401762,81.90604355,5.358453633,135,41.1703451,-73.4183903,Wilton
1702Q66907,19XR,2002,0,45.87221823,47.982771,5.958363245,159,38.5676435,-121.3441821,Sacramento
1709Q18930,19XR,2009,84.8003848,2.164502165,0.096200096,0.048100048,46,43.4110672,-80.3681383,Cambridge
1805Q71186,19XR,2005,0.490312753,69.74341886,28.19060313,1.261484267,150,33.6895226,-95.5595796,Paris
1999J59653,19XR,1999,0,66.66666667,26.66666667,6.666666667,62,40.5804299,-111.9746059,West Jordan
2306Q72831,19XR,2006,33.28609389,63.77325066,0.230292294,0.053144376,150,33.6895226,-95.5595796,Paris
2468Q08642,19XR,1968,0,0,0,0,0,34.0058624,-84.5851816,Kennesaw
2602Q67085,19XR,2002,0.003052689,99.19408999,0.802857317,0,167,40.6223891,-75.4523905,Allentown
2720Q27540,19XR,2020,0,97.9632817,1.801491681,0.212277682,214,35.2331387,-80.9354942,Charlotte
2720Q27541,19XR,2020,0,91.96514161,7.925925926,0.104575163,214,35.2331387,-80.9354942,Charlotte
2720Q27542,19XR,2020,0,91.77905372,8.131926826,0.084568478,214,35.2331387,-80.9354942,Charlotte
2720Q27543,19XR,2020,0,93.51903342,6.258530914,0.207269602,214,35.2331387,-80.9354942,Charlotte
3517Q26155,19XR,2017,7.816783093,47.20429157,33.89925428,11.00598344,150,33.6895226,-95.5595796,Paris
3896J54135,19XR,1996,0,0,0,0,141,41.0499099,-73.5378788,Stamford
3896J54136,19XR,1996,0,52.65957447,47.34042553,0.531914894,141,41.0499099,-73.5378788,Stamford
3896J54137,19XR,1996,0,38.75,61.66666667,0,141,41.0499099,-73.5378788,Stamford
3897J56903,19XR,1997,0,0,0,0,64,39.6007593,-75.7405106,Newark
3997J56902,19XR,1997,0,90.65736631,8.708518284,0.634115409,64,39.6007593,-75.7405106,Newark
4005Q71822,19XR,2005,5,70,25,0,51,43.7800109,-79.2049445,Scarborough
4204Q70042,19XR,2004,0,50.35587189,49.82206406,0,5,33.581892,-111.6811641,Ft McDowell
4414Q23852,19XR,2014,0.012003361,57.8682031,38.57880206,2.280638579,51,43.7800109,-79.2049445,Scarborough
4414Q23853,19XR,2014,0.095923261,70.50359712,28.10551559,1.199040767,51,43.7800109,-79.2049445,Scarborough
4701Q66385,19XR,2001,0,43.55852317,56.40219953,0.039277298,41,40.7726271,-73.9461932,New York
5021Q28735,19XR,2021,0.391726731,63.05233469,35.02036979,1.535568787,60,40.7852328,-73.945029,NEW YORK
5098J59022,19XR,1998,21.52588556,45.34838459,27.94861814,2.685869988,41,42.206815,-71.121648,Canton
5196J55233,19XR,1996,9.249698847,81.12200998,8.922732748,0.679745311,214,38.9860717,-76.937139,College Park
69342,19XR,,0,6.666666667,93.33333333,0,66,35.0919352,-106.6359461,Albuquerque
69343,19XR,,0,20.1185727,78.51839539,1.363031915,66,35.0919352,-106.6359461,Albuquerque
800Q63272,19XR,2000,0,28.33052277,71.66947723,0,15,40.5586403,-75.4849045,Allentown
AB02012022A,19XR,2022,0,0,0,0,64,40.7294885,-73.4275054,Farmingdale
Q64279,19XR,,0,15.03416856,47.56264237,35.39863326,41,33.6603444,-117.8617749,Newport Beach
Q64280,19XR,,0,0,0,0,41,33.6603444,-117.8617749,Newport Beach
