,CDT,Control Point,DP,ECDW,ECW,GV,LCDW,LCW,MTRB,OilPD,PLC,Power,SP,VFD,SST,SDT,Year,COOLDT,h_cdo,h_suc,s_suc,h_dis_i,h_dis,eta_comp,COP,psm_cop,eta,COP_Current,COP_New,Energy Saving%,Energy Saving,fn,root,ALC,Hrs,InverT,OilT
std,4.168074567337812,0.4655134715857483,51250.34356508161,1.9069258693435012,0.9186001590578281,3.57940408076439,2.5906114226633408,0.47792944324742237,4.37688425439751,3.608675498414939,14.280165208386155,28.715588899006086,5948.273688966226,6.7612669252030715,0.4807870196753882,2.581099539056261,0.26791072619316225,0.8484389490958706,3679.174950050108,274.0690350449037,0.23502992707225795,1607.0568082478642,3747.550096410145,0.07444081336628398,0.9085001290226723,0.5787769617543518,0.09844112297052167,0.9085001290226723,0.5787769617543518,9.844112297052167,1220.4641611615482,2301Q65746.csv,North_America_chiller_retrofit,34.78897521837553,2116.3915974234123,2.4920283590724472,
min,29.376110500759548,5.555517408582899,520111.2103806934,15.236388312445746,6.151390075683594,0.0,16.59944322374132,4.769999186197917,0.0,172.90742008216097,30.000001907348636,0.0,324699.04085724,0.0,2.8882153910343504,16.97538556513433,2022.0,0.23944430881076073,223230.57968607024,400279.427448256,1722.3333945995946,409602.70631674695,419031.55587824277,0.18747570802622815,2.8843431819380156,5.695839748762739,0.455169250800086,2.8843431819380156,5.695839748762739,0.0,0.0,2301Q65746.csv,North_America_chiller_retrofit,0.0,94311.3203125,15.0,
25%,37.233890957302506,5.83329094780816,605922.6136716782,18.95333184136284,8.40833240085178,5.089771747589111,21.529998779296875,5.841111077202695,129.09300231933594,180.6979505269318,33.608814239501946,63.4000015258789,356284.26751423883,84.94623565673828,5.54111073811849,21.89353173052831,2023.0,2.007779015435113,230137.15594551875,401801.2819737789,1723.9014574498137,412739.00798290526,425622.5072098565,0.4142865129950454,5.916409499760778,8.378273970266868,0.6704506004035349,5.916409499760778,8.378273970266868,18.68993771388781,1267.6663626042496,2301Q65746.csv,North_America_chiller_retrofit,81.29999542236328,96825.578125,20.800001356336804,
50%,40.70833418104384,6.666624281141493,633960.0226568787,20.225554572211372,9.037221272786454,6.782392501831055,23.06722429063585,6.549165513780382,131.46574401855472,183.2485561285553,38.49862289428711,74.4000015258789,359860.7011862845,88.3536376953125,5.829999881320529,23.385775129649176,2023.0,2.593053181966142,232250.28952748163,401965.9417171476,1724.0539192326569,413682.08296808926,428007.2274318469,0.4684595150223797,6.37476193952626,8.79790475500124,0.7438535032847399,6.37476193952626,8.79790475500124,25.614649671526013,2072.107548829525,2301Q65746.csv,North_America_chiller_retrofit,93.13333892822266,98547.0546875,21.899998982747395,
75%,43.087777031792534,6.666624281141493,677290.5446876606,21.92333221435547,9.620001051161024,8.868509292602539,25.27860853407118,6.68138927883572,134.53712463378906,186.5069326914444,52.94765853881836,102.6500015258789,363781.5168441568,97.08573913574219,6.144193224515277,25.59681865846028,2023.0,3.24111090766059,235397.05868602078,402144.7808789704,1724.1950268793707,415056.9168111365,430207.26192433364,0.5155387272228934,7.177553485790673,9.200680053797253,0.813100622861122,7.177553485790673,9.200680053797253,32.95493995964651,3264.5390870245383,2301Q65746.csv,North_America_chiller_retrofit,128.0500030517578,100140.859375,24.10000271267361,
max,73.60166761610243,8.055491977267796,829663.8748247599,28.855001661512585,13.257776896158854,80.18242645263672,32.24444495307075,9.835554758707682,157.90280151367188,202.80328674570467,90.19283294677734,172.8000030517578,407786.6700587071,100.0,9.50429588194271,32.61225612487044,2023.0,6.466666327582465,245513.99994831296,404040.9936481504,1725.533874978953,419217.34754180256,459148.77875721996,0.7378291028381034,10.10204284722363,11.842683259662115,1.0,10.10204284722363,11.842683259662115,54.4830749199914,5111.75647873662,2301Q65746.csv,North_America_chiller_retrofit,218.26666259765625,102541.8671875,31.899998982747395,
count,34199.0,136.0,34199.0,34199.0,31443.0,19979.0,33320.0,34199.0,30102.0,32332.0,34199.0,34111.0,34199.0,23943.0,34199.0,34199.0,34199.0,31443.0,34199.0,34199.0,34199.0,34199.0,34199.0,34199.0,34199.0,34199.0,34199.0,34199.0,34199.0,34199.0,34111.0,2511Q20862.csv,North_America_chiller_retrofit,,8680.0,,
mean,39.86212559848703,7.222222222222222,733688.9516002198,22.198703015090473,9.974012941062973,13.336738575284706,25.55296118330348,7.414493925850125,128.85230217448867,200.21097394770408,49.87427410207272,88.29163319763647,376076.5554111385,90.65138871429089,7.098516324198319,28.189805286442777,2022.3686949910816,2.5593649185644867,239137.1611026284,402684.92623052385,1723.4496725373895,416427.95655203593,425914.4985557152,0.598633902107431,7.197457779094674,8.929849257747582,0.8083003160426392,7.197457779094674,8.929849257747582,19.16996839573609,1740.197776306319,2511Q20862.csv,North_America_chiller_retrofit,,23456.84427383353,,
std,4.7292264996595526,0.0,75468.98809271854,2.4797406202650873,1.2174830686087217,7.85525430508195,3.039639402986292,1.03016367414352,6.272163929997194,3.440820705195664,12.415208087066642,21.991426204411606,14392.235803587197,3.8686351971394077,1.0329003401078378,3.4265583984825807,0.48245808196103684,0.6414194613728565,4950.457329161723,576.0373078828691,0.4605484940469484,2000.734323392161,3730.6068155349462,0.0865936666504949,1.0977741684158757,0.8136045436338007,0.11300277581035462,1.0977741684158757,0.8136045436338007,11.300277581035463,1232.5615372521438,2511Q20862.csv,North_America_chiller_retrofit,,4423.2266881848245,,
min,28.88888888888889,7.222222222222222,595679.0768999981,15.055555555555555,8.277777777777777,0.2,18.722222222222225,6.61111111111111,114.3,186.15843900000002,30.1,52.3,340573.06790000363,77.9,4.245078772481747,21.33531409928065,2022.0,0.6111111111111143,229348.8275558767,401059.9765905224,1718.978144087251,412223.77567446657,417516.51295953937,0.2701371830446781,3.279744231061664,4.415006840589472,0.49672553605077563,3.279744231061664,4.415006840589472,0.0,0.0,2511Q20862.csv,North_America_chiller_retrofit,,15820.3,,
25%,36.77777777777778,7.222222222222222,674968.782399985,20.72222222222222,9.388888888888888,8.1,23.277777777777782,7.166666666666666,124.4,198.5690016,40.7,72.1,371599.4743999933,87.8,6.763030415919729,25.48109451194165,2022.0,2.1111111111111143,235231.88335807424,402496.2748872762,1723.4334512064847,414830.32508399594,423473.25703148736,0.535041060592073,6.485609474651211,8.582920857720335,0.7356687927033649,6.485609474651211,8.582920857720335,10.835772432509861,837.0789232741423,2511Q20862.csv,North_America_chiller_retrofit,,19513.824999999997,,
50%,38.77777777777778,7.222222222222222,708753.0917000005,21.666666666666668,9.722222222222221,11.0,24.72222222222222,7.222222222222222,127.2,200.63742870000002,46.0,81.4,374057.7061975438,90.0,6.9555555555555575,27.136274945752405,2022.0,2.5,237599.4655003675,402605.4230866764,1723.5125100559433,415830.2266936537,425296.3980964646,0.5845473208595059,7.255514354305392,9.105772215321789,0.8238809463152016,7.255514354305392,9.105772215321789,17.611905368479842,1396.7568085149696,2511Q20862.csv,North_America_chiller_retrofit,,23227.85,,
75%,42.27777777777777,7.222222222222222,781148.0401999761,23.000000000000004,10.222222222222221,16.8,27.388888888888886,7.277777777777779,132.4,202.7058558,58.1,102.9,376195.7893401227,93.2,7.122222222222223,30.49221286476393,2023.0,2.944444444444442,242434.5368102044,402699.8324278261,1723.6041873709316,417870.6185205302,427546.56428534957,0.6582321210684786,7.873039916356333,9.385788364928258,0.8916422756749014,7.873039916356333,9.385788364928258,26.4331207296635,2500.406277642748,2511Q20862.csv,North_America_chiller_retrofit,,27393.35,,
max,72.11111111111111,7.222222222222222,991438.1287000057,34.888888888888886,22.5,80.1,36.88888888888889,17.77777777777778,161.5,212.3585156,98.3,175.89999389648438,529489.4097000113,100.0,17.54155474321948,39.06866692421454,2023.0,8.833333333333334,255020.8685587652,408443.47488616477,1724.8392233902803,422266.07409293274,455099.2575742025,0.8202942180758102,11.42918884606922,14.31275404881873,1.0,11.42918884606922,14.31275404881873,50.32744639492244,7062.897694996714,2511Q20862.csv,North_America_chiller_retrofit,,33387.9,,
count,15393.0,14242.0,15393.0,15393.0,15303.0,15292.0,15381.0,15393.0,15310.0,14882.0,15393.0,11605.0,15393.0,11605.0,15393.0,15393.0,15393.0,15303.0,15393.0,15393.0,15393.0,15393.0,15393.0,15393.0,15393.0,15393.0,15393.0,15393.0,15393.0,15393.0,11605.0,2608Q18009.csv,North_America_chiller_retrofit,,12104.0,,
mean,50.39179785905571,8.785372684860116,694010.8984780982,24.026819550011908,11.205511628075831,6.579891446507978,25.74641874173764,8.769682467499656,149.9598105813194,275.29612949494697,49.24829467939973,134.21857819905213,390660.3971069942,0.0,8.220637179842432,26.37047347391077,2022.7282531020594,2.4362543292164935,236511.92953212245,403319.07493829116,1722.9231860350126,415173.37703329267,437143.01038413367,0.3580922590313533,4.990212558372251,8.62243307234776,0.5848384916502857,4.990212558372251,8.62243307234776,41.51615083497142,5365.822425592883,2608Q18009.csv,North_America_chiller_retrofit,,8650.35627891606,,
std,3.8103850485015034,0.7690692568334554,42975.008696637444,1.7342157400753961,1.0938841628412028,4.782324634232531,2.0461056802227056,0.8518678511809831,2.003664117769626,2.299525081437432,7.847114017112655,28.221854673735812,12148.408075759144,0.0,0.89698072646962,2.1551860923980763,0.444874565200831,1.020751981964877,3073.523694554465,503.0581979837689,0.40822484713541296,1355.2880571420685,4135.066359741445,0.07545381099427681,0.5133342449742722,0.9457079243323856,0.08108550215379857,0.5133342449742722,0.9457079243323856,8.108550215379857,712.1573835743119,2608Q18009.csv,North_America_chiller_retrofit,,1017.571089138794,,
min,34.38888888888889,7.222222222222222,512252.51719998574,15.111111111111112,6.833333333333331,-0.1,16.444444444444446,5.777777777777777,133.1,186.15843900000002,31.9,0.0,344020.44640002446,0.0,4.5333186643918,16.494956884168175,2022.0,0.3333333333333304,222560.50434844152,401225.20803575864,1719.5402146912836,409181.6162119544,421635.73025965004,0.16801922504310632,3.1960246051376284,5.890852162577505,0.37093803530630653,3.1960246051376284,5.890852162577505,0.9370152593990766,0.0,2608Q18009.csv,North_America_chiller_retrofit,,6023.1,,
25%,47.666666666666664,8.333333333333334,672210.8795999947,23.333333333333332,10.555555555555555,3.3,24.833333333333336,8.277777777777777,148.9,275.1008043,42.99999999999999,112.7,384010.036999985,0.0,7.725263409129468,25.343240856994896,2022.0,1.611111111111109,235035.19154894707,403040.81216919067,1722.7343677620713,414502.381673809,434086.96514509135,0.30671343212249585,4.622988067394794,7.847821260638914,0.531228976911834,4.622988067394794,7.847821260638914,35.529685081465054,4980.054847685811,2608Q18009.csv,North_America_chiller_retrofit,,7875.45,,
50%,49.27777777777778,8.722222222222223,697032.0048000077,24.27777777777778,11.277777777777777,5.9,25.944444444444446,8.777777777777777,149.7,275.79028,47.9,130.5,388836.36689994927,0.0,8.09305228866458,26.56890311143013,2023.0,2.388888888888891,236786.64781012308,403248.2937937986,1722.978469732148,415301.8972040018,435902.61049030005,0.3625918147599919,5.0957004173774525,8.510475914532227,0.5895280717138912,5.0957004173774525,8.510475914532227,41.04719282861088,5304.042942701375,2608Q18009.csv,North_America_chiller_retrofit,,8651.05,,
75%,52.83333333333333,8.88888888888889,721163.6543000226,25.166666666666664,11.777777777777779,9.4,27.055555555555557,9.000000000000002,150.9,276.4797557,55.3,156.4,395861.53736414807,0.0,8.622222222222224,27.72936514525719,2023.0,3.2222222222222214,238450.53378227795,403546.1720302948,1723.149733929376,416049.40307791525,439976.95348003146,0.4132394377333297,5.3387922617618795,9.206438973118308,0.6447031491853494,5.3387922617618795,9.206438973118308,46.877102308816596,5721.631040224151,2608Q18009.csv,North_America_chiller_retrofit,,9408.949999999999,,
max,71.44444444444444,15.944444444444446,972822.2847999788,31.555555555555554,23.94444444444444,71.5,36.611111111111114,17.22222222222222,167.3,281.3060856,100.5,293.0,506047.2359000079,0.0,16.11164041458011,38.3679514527181,2023.0,7.555555555555555,253979.22336942813,407675.06235737517,1724.6943519177091,422222.0793291036,455460.67840535566,0.7386516459728385,9.169780963772956,14.40881436186315,0.9906298474060092,9.169780963772956,14.40881436186315,62.90619646936935,11520.459513806494,2608Q18009.csv,North_America_chiller_retrofit,,10497.3,,
count,20509.0,143.0,20509.0,20509.0,15865.0,11505.0,20374.0,20509.0,19260.0,18866.0,20509.0,20460.0,20509.0,6619.0,20509.0,20509.0,20509.0,15865.0,20509.0,20509.0,20509.0,20509.0,20509.0,20509.0,20509.0,20509.0,20509.0,20509.0,20509.0,20509.0,20460.0,2619Q27626.csv,North_America_chiller_retrofit,,4885.0,,
