,CDT,Control Point,DP,ECDW,ECW,GV,LCDW,LCW,MTRB,OilPD,PLC,Power,SP,VFD,SST,SDT,Year,COOLDT,h_cdo,h_suc,s_suc,h_dis_i,h_dis,eta_comp,COP,psm_cop,eta,COP_Current,COP_New,Energy Saving%,Energy Saving,fn,root,ALC,Hrs,InverT,OilT
std,2.3540535631791903,2.176830991434913,92948.24702172387,3.1872597048903435,3.1320809553258506,9.964249435487545,4.045972494564409,2.356863486416704,3.1154098383915865,2.3665533725442667,19.31010054021586,77.24876516169475,27797.032664729577,4.730022806341961,2.186339789960288,4.285605506848714,0.4993128015395903,1.038760395980325,6178.557395621048,1240.4860557954112,1.0475499105799473,2365.2217802382224,1958.255722151442,0.10786195464288324,0.38098112600131584,0.7072571401201636,0.07807204507925483,0.38098112600131584,0.7072571401201636,7.807204507925482,1173.9322106554105,4415Q24810.csv,North_America_chiller_retrofit,,3905.5713255720448,,
min,33.05555555555556,4.444444444444445,555000.0105999877,16.166666666666668,3.0555555555555554,-0.1,17.83333333333333,2.2777777777777786,133.6,218.5637969,30.600000000000005,136.0,307478.2343000069,31.9,1.3574013493150119,19.04410586272985,2022.0,0.0555547078450509,226125.1158560883,399393.52700330125,1719.0750024810507,411310.8931204826,421783.14317799214,0.28059552618006844,3.9214326829931268,6.06375854833212,0.5401253664343734,3.9214326829931268,6.06375854833212,3.99643818847194,1733.7820490617416,4415Q24810.csv,North_America_chiller_retrofit,,42643.5,,
25%,38.888888888888886,6.388888888888888,692205.6748999713,22.166666666666668,8.499999999999998,12.1,24.666666666666668,5.499999999999999,150.3,246.14282490000002,55.0,240.0,338504.64080006414,100.0,4.071060106702134,26.333187633417367,2022.0,2.8333333333333304,236449.34518179114,400960.12207835296,1723.273903100156,415717.28402974416,424906.52574498625,0.5842010305164681,6.659800606318629,7.765473516396907,0.7384599269992264,6.659800606318629,7.765473516396907,12.436075757180232,4451.878192683403,4415Q24810.csv,North_America_chiller_retrofit,,46150.524999999994,,
50%,40.5,7.777777777777778,774942.7588999954,24.72222222222222,10.611111111111112,19.5,28.22222222222222,6.7777777777777795,152.3,248.211252,73.2,316.0,352983.6305000123,100.0,5.272523141552654,30.21396636773767,2023.0,3.833333333333332,242031.83503541627,401648.0026332098,1724.3270212580283,417926.63177911483,425670.04873211286,0.6796037708807136,6.80572091819556,8.261811168112313,0.8165904681999945,6.80572091819556,8.261811168112313,18.340953180000557,5278.4651149410565,4415Q24810.csv,North_America_chiller_retrofit,,49774.85,,
75%,42.55555555555555,10.0,844579.8045999964,27.22222222222222,13.61111111111111,25.9,31.277777777777775,9.277777777777779,155.2,249.59020340000004,85.6,363.0,380562.6584999959,100.0,7.460389242634619,33.245277829906286,2023.0,4.333333333333336,246437.39118534076,402891.1628756372,1724.9271373583908,419424.11252237135,426616.1603258199,0.736158129386193,6.911639898203669,8.97549286679593,0.8756392424281977,6.911639898203669,8.97549286679593,26.154007300077364,6135.008433256882,4415Q24810.csv,North_America_chiller_retrofit,,52803.925,,
max,58.388888888888886,13.333333333333332,976269.6632999873,31.666666666666664,20.944444444444446,64.5,37.88888888888889,17.61111111111111,168.2,254.4165333,104.5,441.0,525352.5555000154,100.0,17.292754731033824,38.498468279237386,2023.0,5.333333333333334,254173.0532129644,408310.26378020557,1726.3436017636304,421841.17947217077,444744.59692405886,0.8301054724885474,8.584348180645737,13.167387250950894,0.9600356181152806,8.584348180645737,13.167387250950894,45.987463356562664,13169.268220501557,4415Q24810.csv,North_America_chiller_retrofit,,56507.6,,
count,7866.0,7866.0,7866.0,7866.0,7866.0,7866.0,7866.0,7866.0,7866.0,7866.0,7866.0,7866.0,7866.0,7866.0,7866.0,7866.0,7866.0,7866.0,7866.0,7866.0,7866.0,7866.0,7866.0,7866.0,7866.0,7866.0,7866.0,7866.0,7866.0,7866.0,7866.0,4998J59038.csv,North_America_chiller_retrofit,,7866.0,,
mean,40.47840647553712,6.6666412353515625,742903.524787148,23.458805723298344,9.456027084802354,19.40816237330588,27.736978294061537,6.660090612517167,127.62614203384442,173.34775678165053,61.95480570100871,304.9910307398529,354470.9014652107,0.15816673462532752,5.392051627265359,28.653866382754828,2023.0,2.7959364722851867,239798.59369064053,401716.0726331183,1724.2688971714203,416965.5637417947,426308.9374712019,0.6232025651517146,6.615189471084494,8.78508868250321,0.7592317704015932,6.615189471084494,8.78508868250321,24.076822959840687,6990.533887200698,4998J59038.csv,North_America_chiller_retrofit,,52420.088254632275,,
std,2.2277914645557946,0.0,64385.52927916982,2.2192914668973627,0.601044030648776,12.699875237815224,2.798912496035747,0.18664900428269168,6.884826041806491,0.8935943072410868,11.290685623389086,58.89182449079657,4414.721986290386,0.012143176136255915,0.36227343040955784,2.961844945267742,0.0,0.5155516713309194,4271.519329609245,207.03842624655664,0.17937331332218748,1788.9198206966144,1771.4811671155887,0.08526415530478165,0.5046034683878708,0.9911466154196703,0.07100095522652664,0.5046034683878708,0.9911466154196703,7.100095522652663,1320.2860816841135,4998J59038.csv,North_America_chiller_retrofit,,670.4899413471239,,
min,33.78111097547743,6.6666412353515625,581101.3937865966,16.89805560641819,8.103889889187283,0.0,19.944720798068577,5.996665954589844,0.0,160.4058861629181,37.55647659301758,0.0,327240.4935679296,0.0,3.1088221769112465,20.528255077614006,2023.0,1.3780551486545143,228211.11863101195,400406.6375676813,1722.2918226047227,411918.7180225976,421986.58911127946,0.4016181183162253,5.4592290684258025,6.381256582586541,0.589219897472,5.4592290684258025,6.381256582586541,6.447339376752026,0.0,4998J59038.csv,North_America_chiller_retrofit,,50968.56640625,,
25%,39.123331705729164,6.6666412353515625,692859.6121338757,21.814168294270832,8.993890550401476,10.105787515640259,25.61833275689019,6.571110619439023,126.7760009765625,172.9968974812775,51.95783233642578,256.2432022094727,353601.29282828706,0.15625599026679993,5.322930881389823,26.365198022525078,2023.0,2.3580551147460938,236495.13804574884,401676.7836262778,1724.1665229153318,415570.4902835657,425653.7556968653,0.5467416577479972,6.270681747995702,7.782676798682091,0.693488127805485,6.270681747995702,7.782676798682091,18.275091816767343,6183.068364197044,4998J59038.csv,North_America_chiller_retrofit,,51941.578125,,
50%,40.91388702392578,6.6666412353515625,725879.1395348767,22.714445326063366,9.425832960340712,15.242351531982422,26.96639166937934,6.637221442328559,128.36000061035156,173.12551137947847,60.1468391418457,297.22607421875,355464.53736333933,0.15625599026679993,5.4745839860732985,27.952698363471256,2023.0,2.7886115180121527,238771.3864840829,401763.33314596215,1724.2276483136552,416557.9250914812,426623.0333298284,0.634130162482109,6.468298220623055,9.13314674250049,0.7624024342612403,6.468298220623055,9.13314674250049,23.759756573875972,7144.446203272744,4998J59038.csv,North_America_chiller_retrofit,,52411.60546875,,
75%,42.16888851589626,6.6666412353515625,798129.0094535745,25.39166768391927,9.81388939751519,24.53088569641113,30.141665140787758,6.703334384494357,129.09300231933594,173.83628070156098,70.3125,348.33919525146484,357002.69646243,0.16602200269699094,5.5993199363283,31.245233598388097,2023.0,3.178613450792101,243526.06165504028,401834.47696378554,1724.3021895992692,418535.402761714,427384.11278268177,0.6975337884095215,6.820496505022959,9.548285038843503,0.8172490818323266,6.820496505022959,9.548285038843503,30.6511872194515,7944.935692846889,4998J59038.csv,North_America_chiller_retrofit,,53003.6484375,,
max,47.11555480957031,6.6666412353515625,901982.8648507358,29.757779439290363,15.789722866482204,75.46040344238281,35.04666646321615,11.743609110514322,134.47299194335938,178.03324940579986,89.79668426513672,446.8551940917969,409051.1892811407,0.18555398285388947,9.596670315090591,35.60573693131374,2023.0,4.4611125522189665,249896.92474329704,404092.6881910041,1725.4194873300503,421021.6984610798,432051.0540943031,0.7962244348506132,8.192052773645763,10.859446290221682,0.9355266062324797,8.192052773645763,10.859446290221682,41.0780102528,13985.017867524697,4998J59038.csv,North_America_chiller_retrofit,,53468.78515625,,
count,22743.0,8877.0,22743.0,22743.0,22743.0,13866.0,22743.0,22743.0,22743.0,22233.0,22743.0,22743.0,22743.0,13866.0,22743.0,22743.0,22743.0,22743.0,22743.0,22743.0,22743.0,22743.0,22743.0,22743.0,22743.0,22743.0,22743.0,22743.0,22743.0,22743.0,22743.0,5111Q21335.csv,North_America_chiller_retrofit,22743.0,22743.0,15106.0,0.0
mean,41.85098332187958,5.340017273102776,712109.3389293886,21.151589350737257,12.14849376243765,49.16796769687284,25.88411851989621,5.499731605510142,143.66337523724354,229.64312185240178,60.937496143873275,284.23937517629156,335696.6490513565,88.64536711163083,3.8267959384609287,27.20665851403547,2022.6442421844083,6.648762156927507,237717.28200945526,400819.2223191966,1725.053946446337,416323.6001553219,428354.18514404696,0.561253777078133,5.959051795732311,9.237769362578476,0.64656143525165,5.959051795732311,9.237769362578476,35.343856474835,10084.107413856118,5111Q21335.csv,North_America_chiller_retrofit,342.8166725189889,49159.35389838357,32.285873817075604,
std,2.912859101181642,0.8457349009056107,61328.67338201733,2.2124988103665473,0.9121340406218728,14.544277671218243,2.7172931884795783,0.6051790604220053,4.827304526588981,1.804399310365157,14.033366685971371,76.68344970083581,8348.984657409863,6.18977336023685,0.7060449040025889,2.8477833729238555,0.47875282793003066,0.7718554277388588,4101.887840339673,405.4791614609613,0.3584169228506312,1754.0291591509117,1738.0168462715437,0.032153345009369526,0.5229926286013585,0.9130312090343259,0.030893608489694004,0.5229926286013585,0.9130312090343259,3.0893608489693998,2927.525355125252,5111Q21335.csv,North_America_chiller_retrofit,93.07792247584787,2611.186038070091,2.7487409709625115,
min,36.34249793158638,4.444444444444445,584670.0217898253,16.81249830457899,9.188334147135416,0.0,20.204166836208767,4.184445275200738,135.03700256347656,222.46627396919246,30.389896392822266,0.0,311036.7204793005,77.55821990966797,1.6790269680251981,20.72722709243527,2022.0,3.657222323947475,228491.38641815117,399580.1109947801,1723.7796470461474,412185.3298683154,425293.6499282962,0.4237575960160393,4.7016228572522225,6.580416333422805,0.5704877448078436,4.7016228572522225,6.580416333422805,19.63488324611352,0.0,5111Q21335.csv,North_America_chiller_retrofit,0.0,45024.7578125,24.899999830457897,
25%,39.75055694580078,5.0,669568.766130348,19.599444071451824,11.636666191948784,36.89937973022461,23.97750006781684,5.0611114501953125,140.09300231933594,228.6526813768921,50.8072509765625,227.0,330569.3579114353,83.51848602294922,3.395799629206408,25.210774162100904,2022.0,6.155556572808159,234846.25687311927,400571.9441081553,1724.8910076543623,415065.7602569666,427098.9759927246,0.5378029637303023,5.636797771402893,8.920863987479507,0.6272676714005192,5.636797771402893,8.920863987479507,33.71904828061294,7906.139808644462,5111Q21335.csv,North_America_chiller_retrofit,272.33334350585943,46393.21875,30.400000678168404,
50%,40.64971923828124,5.0,691064.6986637905,20.204166836208767,12.298609415690104,48.71426010131836,24.96305677625868,5.507778591579861,141.9654998779297,229.67038816155244,58.65458679199219,267.10000610351557,335197.40673665,86.84398651123047,3.7911185412572763,26.277281923323585,2023.0,6.764998965793185,236369.37846777556,400799.3310579154,1725.0692818307532,415771.8516761462,427617.8545359573,0.5594620013630386,6.127240209341079,9.506905632030724,0.6439096122391883,6.127240209341079,9.506905632030724,35.60903877608117,9686.540934709796,5111Q21335.csv,North_America_chiller_retrofit,323.433349609375,49856.4765625,31.999999152289497,
75%,43.273887634277344,5.555555555555555,739081.3430344628,22.296388414171005,12.85305447048611,58.42173099517822,27.173890007866753,5.641110738118489,146.1840057373047,230.53239059501652,68.46376800537111,324.8000183105469,339352.5561979175,93.8332290649414,4.1424942918980605,28.572215838277913,2023.0,7.278194427490236,239662.50401818476,401001.12112364324,1725.2715344953922,417172.8973876361,429259.9797761157,0.582673288928967,6.349331699330511,9.813367091183206,0.6628095171938706,6.349331699330511,9.813367091183206,37.27323285994808,11770.54278482182,5111Q21335.csv,North_America_chiller_retrofit,389.95001220703125,51528.1015625,33.79999796549479,
max,50.31777699788411,7.777777777777778,901410.7565656854,28.807775709364147,14.066111246744795,80.17823028564453,34.139722188313804,7.90777842203776,156.7293243408203,237.27039118739316,101.2685317993164,508.3000183105469,366957.0439634517,100.0,6.396769869815671,35.58277601714684,2023.0,8.361110687255856,249863.14640894745,402288.3626584145,1726.17112347143,421296.3684120367,433242.82919197535,0.6410957326801435,7.354499401068767,11.287867344884544,0.8036511675388648,7.354499401068767,11.287867344884544,42.95122551921564,19458.07333348801,5111Q21335.csv,North_America_chiller_retrofit,615.5333862304688,53112.7734375,44.699999491373696,
count,19481.0,19481.0,19481.0,19481.0,19481.0,19481.0,19481.0,19481.0,19481.0,19481.0,19481.0,19481.0,19481.0,19481.0,19481.0,19481.0,19481.0,19481.0,19481.0,19481.0,19481.0,19481.0,19481.0,19481.0,19481.0,19481.0,19481.0,19481.0,19481.0,19481.0,19481.0,5200Q64908.csv,North_America_chiller_retrofit,19477.0,19481.0,,19477.0
mean,50.361690878169824,5.976433155286157,719122.98803398,23.371958998072042,10.5250065845971,11.092363394749041,25.787140630892587,5.9870058581466665,128.32447351914192,172.46647691734256,42.397616306177845,184.0440885309725,350792.9229468359,93.32688034423403,5.0918006536276055,27.563109088217626,2022.6467840459936,4.538000726450434,238224.79793996914,401544.63180910423,1724.4168464201125,416352.4616836128,436667.73980296764,0.426932244106277,4.681946967213186,7.326440168182462,0.6394778153763784,4.681946967213186,7.326440168182462,36.05221846236217,6551.414990502361,5200Q64908.csv,North_America_chiller_retrofit,224.9351434544591,75928.2276240311,,53.510002176751
std,3.03374404106478,0.23810841917036832,53460.82984611956,1.3668275457863748,1.2457370782159334,5.240314509061455,2.010618767493419,0.2530587356682289,2.1919898971539356,1.7637539918706044,10.308881311355314,45.36577469821154,3935.153611903308,3.1516485161430356,0.32360351235342305,2.4982557619911097,0.4790541363226055,1.2673286476732948,3595.416697339646,185.00028504799081,0.16043162178055642,1542.7224895901095,3335.532038157255,0.07161151888576288,0.362329627809415,0.42685654529406725,0.04067304169229846,0.362329627809415,0.42685654529406725,4.067304169229846,1371.2315814725407,5200Q64908.csv,North_America_chiller_retrofit,54.9978388561025,1873.4462623463523,,1.2177696291117361
min,43.648889329698356,5.555602179633246,620858.2905460681,20.225554572211372,7.624443901909722,1.641388177871704,21.617223951551647,5.2624999152289496,123.37899780273438,168.22766268357086,30.21716117858887,85.72209930419922,335364.78891419095,84.97396850585938,3.805337390046077,22.694799685110922,2022.0,1.5813869900173607,231270.76569722831,400807.50262064853,1723.5302559039003,413393.89331508434,430605.6735773905,0.26271412231096164,3.4302765711184,5.733486079588578,0.5172811195428442,3.4302765711184,5.733486079588578,20.81090505117602,2715.799638869697,5200Q64908.csv,North_America_chiller_retrofit,95.5078125,72823.96875,,50.76610989040798
25%,48.25916714138455,6.111149258083767,677988.1633043794,22.274445427788628,9.44722281561957,6.745945930480957,24.312222798665363,5.97444322374132,126.70500183105469,171.6384296199112,33.814441680908196,147.26568603515625,348852.20491117146,90.95075988769531,4.933607364614659,25.63153175704781,2022.0,3.446943495008684,235446.6157518696,401454.3271820001,1724.3152534374426,415141.56598433544,434338.53141032613,0.3631773720871936,4.505835607332488,6.958105847083274,0.6119891228337089,4.505835607332488,6.958105847083274,33.004563441066296,5485.506319034199,5200Q64908.csv,North_America_chiller_retrofit,179.5546875,74025.796875,,52.613889906141495
50%,49.80166541205512,6.111149258083767,703826.4587402416,23.244442409939236,10.823889838324657,10.127968788146973,25.233612060546875,6.084999508327912,128.21450805664062,171.77666983441927,39.210365295410156,169.9239959716797,351410.22751060256,92.75746154785156,5.143811114642119,26.898664152750257,2023.0,4.738055335150825,237258.9046024595,401574.4835325033,1724.3905518331655,415953.5499267387,435380.6680792916,0.43113123477711085,4.72356994072138,7.347583537845606,0.6490939690605724,4.72356994072138,7.347583537845606,35.09060309394276,6359.362352981243,5200Q64908.csv,North_America_chiller_retrofit,208.20703125,76297.484375,,53.452504475911454
75%,51.56277974446614,6.111149258083767,755854.646869902,24.13388994004991,11.487498813205296,14.767248153686525,27.173890007866753,6.151390075683594,129.56309509277344,173.48252672798154,49.2827491760254,215.1878356933593,353276.15478954767,95.64820861816406,5.29640460914959,29.347400901856247,2023.0,5.527500576443143,240779.80233828505,401661.6388891527,1724.494693603637,417484.11533393594,438337.913534036,0.49242369926985763,4.938136073484513,7.679923762319917,0.6699543655893371,4.938136073484513,7.679923762319917,38.80108771662911,7512.871428213484,5200Q64908.csv,North_America_chiller_retrofit,261.69140625,77497.796875,,54.18721516927083
max,63.38166978624132,6.111149258083767,888910.2221000675,27.776667277018227,13.874723646375868,26.945390701293945,31.699998643663193,7.449444664849179,137.34500122070312,183.57590348581695,75.54290008544922,327.6986999511719,373580.1073911496,100.0,6.918226578864733,35.07832679005247,2024.0,7.706387837727864,249121.67342957546,402584.2678105444,1725.0620405340546,420679.406146073,450341.87950241944,0.5747450419963508,5.709887964179189,9.226113379141552,0.7918909494882398,5.709887964179189,9.226113379141552,48.271888045715585,11611.217437076046,5200Q64908.csv,North_America_chiller_retrofit,397.3125,79334.25,,58.525000678168404
