DateTime,ALC,ALV,CDT,Control Point,DP,ECDW,ECW,Hrs,LCDW,LCW,PLC,Power,SP,Serialnumber,VFD_speed,DateTime
2021-10-04 19:00:00+00:00,338.8,444.9,41.0,14.166666666666666,697.7494084,21.999999999999996,17.77777777777778,67500.4,26.888888888888893,14.11111111111111,76.5,259.7,321.9851519,4710Q20221,0.0,2021-10-04 19:00:00
2021-10-04 19:15:00+00:00,332.9,446.1,40.94444444444444,14.166666666666666,692.2336028000001,21.888888888888893,17.77777777777778,67500.4,26.722222222222218,14.11111111111111,75.1,255.2,323.3641033,4710Q20221,0.0,2021-10-04 19:15:00
2021-10-04 19:30:00+00:00,333.4,445.5,40.888888888888886,14.166666666666666,694.3020299000001,21.944444444444443,17.77777777777778,67500.4,26.722222222222218,14.11111111111111,75.2,255.6,323.3641033,4710Q20221,0.0,2021-10-04 19:30:00
2021-10-04 19:45:00+00:00,331.9,446.5,41.22222222222222,14.166666666666666,698.4388841,22.22222222222222,17.77777777777778,67500.4,26.888888888888893,14.166666666666666,74.9,254.4,325.4325304,4710Q20221,0.0,2021-10-04 19:45:00
2021-10-04 20:00:00+00:00,328.9,446.9,41.388888888888886,14.166666666666666,695.6809813000001,22.333333333333336,17.77777777777778,67500.4,26.944444444444443,14.222222222222223,74.2,252.5,327.5009575,4710Q20221,0.0,2021-10-04 20:00:00
2021-10-04 20:15:00+00:00,338.6,446.6,41.99999999999999,14.166666666666666,715.6757766,22.944444444444443,17.77777777777778,67500.4,27.444444444444446,14.333333333333332,76.4,260.7,327.5009575,4710Q20221,0.0,2021-10-04 20:15:00
2021-10-04 20:30:00+00:00,349.9,446.8,41.99999999999999,14.166666666666666,723.2600093000001,23.22222222222222,17.77777777777778,67500.4,27.88888888888889,14.166666666666666,79.0,270.7,328.19043320000003,4710Q20221,0.0,2021-10-04 20:30:00
2021-10-04 20:45:00+00:00,363.9,446.7,42.05555555555556,14.166666666666666,743.2548046,23.777777777777775,17.77777777777778,67500.4,28.22222222222222,14.333333333333332,81.9,281.1,335.77466590000006,4710Q20221,0.0,2021-10-04 20:45:00
2021-10-04 21:00:00+00:00,367.8,447.4,41.55555555555555,14.166666666666666,749.4600859000001,24.111111111111114,17.77777777777778,67500.4,28.88888888888889,14.166666666666666,83.0,284.6,333.0167631,4710Q20221,0.0,2021-10-04 21:00:00
2021-10-04 21:15:00+00:00,371.2,447.9,41.94444444444444,14.166666666666666,754.2864158000001,24.499999999999996,17.77777777777778,67500.4,29.27777777777778,14.166666666666666,83.8,287.0,331.63781170000004,4710Q20221,0.0,2021-10-04 21:15:00
2021-10-04 21:30:00+00:00,375.0,447.4,41.99999999999999,14.166666666666666,757.7337943000001,24.555555555555557,17.77777777777778,67500.4,29.388888888888893,14.277777777777779,84.6,291.5,330.2588603,4710Q20221,0.0,2021-10-04 21:30:00
2021-10-04 21:45:00+00:00,377.5,447.7,41.94444444444444,14.166666666666666,749.4600859000001,24.444444444444443,17.83333333333333,67500.4,29.499999999999996,14.166666666666666,85.3,291.7,329.5693846,4710Q20221,0.0,2021-10-04 21:45:00
2021-10-04 22:00:00+00:00,382.2,446.9,41.11111111111111,14.166666666666666,739.8074261,23.22222222222222,18.055555555555554,67500.4,28.61111111111111,14.166666666666666,86.3,294.8,324.7430547,4710Q20221,0.0,2021-10-04 22:00:00
2021-10-04 22:15:00+00:00,398.9,444.1,41.0,14.166666666666666,741.1863775,22.666666666666664,18.055555555555554,67505.8,28.333333333333332,14.11111111111111,90.4,305.3,320.6062005,4710Q20221,0.0,2021-10-04 22:15:00
2021-10-04 22:30:00+00:00,389.7,444.6,40.666666666666664,13.88888888888889,731.5337177,22.166666666666668,17.944444444444443,67505.8,27.77777777777778,13.833333333333332,87.8,298.5,314.40091920000003,4710Q20221,0.0,2021-10-04 22:30:00
