,AlertAlarmDateTime,SnapshotUrl,TimeZoneAbreviation,UtcOffsetMinutes,adjustedvalue,alertalarmtype,algorithm,description,eventdatetime,isalarm,isalert,isreset,lastvalue,maxalarmthresholdvalue,maxwarningthresholdvalue,metricName,metricNameChinese,metricid,metrickey,metricshortname,metrictype,minalarmthresholdvalue,minwarningthresholdvalue,path,serialnumber,targetvalue,timezone
67,2023-07-15T19:03:00,,,0.0,163,Device,,SENSOR ALERT-CONDENSER APPROACH,Jul 15 2023  7:03PM,False,True,True,,,,,,,ALARM_01,CH_ALARM_01,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
68,2023-08-31T04:38:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu207150371310_2/2023/8/31/4/38/VU207150371310_2_1693456725,,0.0,206,Device,,PROTECTIVE LIMIT-STARTER FAULT ,Aug 31 2023  4:38AM,True,False,False,,,,,,,ALARM_01,CH_ALARM_01,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
69,,,,,3,Device,,,8/30/2023 9:40:10 PM -07:00,True,False,False,1.0,,,,,,SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
70,,,,,1,Device,,,8/30/2023 9:50:10 PM -07:00,True,False,False,0.0,,,,,,ALM,CH_ALARMRELAY,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
71,2023-08-31T10:35:00,,,0.0,1,Device,,Alarm Relay,Aug 31 2023 10:35AM,False,False,True,,,,,,,ALM,CH_ALARMRELAY,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
72,2023-08-31T10:35:00,,,0.0,3,Device,,System Alert Alarm,Aug 31 2023 10:35AM,False,False,True,,,,,,,SYS_ALM,SystemAlertAlarm,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
73,2023-08-31T10:35:00,,,0.0,206,Device,,PROTECTIVE LIMIT-STARTER FAULT ,Aug 31 2023 10:35AM,True,False,True,,,,,,,ALARM_01,CH_ALARM_01,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
74,,,,,1,Device,,,8/31/2023 3:50:13 AM -07:00,True,False,False,0.0,,,,,,ALM,CH_ALARMRELAY,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
75,2023-08-31T14:35:00,,,0.0,1,Device,,Alarm Relay,Aug 31 2023  2:35PM,False,False,True,,,,,,,ALM,CH_ALARMRELAY,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
76,2023-10-30T16:01:00,https://alarmssaveandnotifyprod.blob.core.windows.net/snapshot/vu207150371310_2/2023/10/30/16/1/VU207150371310_2_1698681692,,0.0,123,Device,,RUN CAPACITY LIMITED-HIGH COMPRESSOR LIFT ,Oct 30 2023  4:01PM,False,True,False,,,,,,,ALARM_01,CH_ALARM_01,,,,AlertAlarm/5200Q64908/2023,5200Q64908,,America/Phoenix
